;company;pixels
384;UGI;6636134
385;Expedia;22340
386;salesforce.com;13160256
387;Targa Resources;907814
388;Apache;3389192
389;Spirit AeroSystems Holdings;13220
390;Expeditors International of Washington;0
391;Anixter International;n/a
392;Fidelity National Information Services;8523503
393;Asbury Automotive Group;1007754
394;Hess;5139121
395;Ryder System;8919322
396;Terex;490157
397;Coca-Cola European Partners;3782242
398;Auto-Owners Insurance;n/a
399;Cablevision Systems;4047772
400;Symantec;45904801
401;Charles Schwab;4173889
402;Calpine;4364630
403;CMS Energy;7431649
404;Alliance Data Systems;3233213
405;JetBlue Airways;18866
406;Discovery Communications;13220
407;Trinity Industries;1301752
408;Sanmina;12291137
409;NCR;3129682
410;FMC Technologies;2665194
411;Erie Insurance Group;9620066
412;Rockwell Automation;6726957
413;Dr Pepper Snapple Group;272075
414;iHeartMedia;3501310
415;Tractor Supply;19733
416;J.B. Hunt Transport Services;1656138
417;Commercial Metals;1528660
418;Owens-Illinois;961280
419;Harman International Industries;6141360
420;Baxalta;3384582
421;American Financial Group;1981367
422;NetApp;8369782
423;Graybar Electric;1363471
424;Oshkosh;1342000
425;Ameren;4171303
426;A-Mark Precious Metals;3503888
427;"Barnes &amp; Noble";4302205
428;Dana Holding;1298388
429;Constellation Brands;1301268
430;LifePoint Health;1503735
431;Zimmer Biomet Holdings;3838383
432;Harley-Davidson;8133520
433;PulteGroup;4315689
434;Newell Brands;5844543
435;Avery Dennison;7152650
436;Jones Lang LaSalle;10657908
437;WEC Energy Group;1185596
438;Marathon Oil;2532030
439;TravelCenters of America;4127
440;United Rentals;6623682
441;HRG Group;738597
442;Old Republic International;n/a
443;Windstream Holdings;10828321
444;"Starwood Hotels &amp; Resorts";19695
445;Delek US Holdings;1030007
446;Packaging Corp. of America;12707257
447;Quintiles Transnational Holdings;5934055
448;Hanesbrands;18669
449;Realogy Holdings;1890902
450;Mattel;7565990
451;Motorola Solutions;2507557
452;J.M. Smucker;1522972
453;Regions Financial;n/a
454;Celanese;34843087
455;Clorox;6014933
456;Ingredion;1865764
457;Genesis Healthcare;5211761
458;Peabody Energy;n/a
459;Alaska Air Group;27597737
460;Seaboard;13220
461;Frontier Communications;8894160
462;Amphenol;1032272
463;Lansing Trade Group;2876514
464;SanDisk;1551273
465;St. Jude Medical;n/a
466;Wyndham Worldwide;3274558
467;Kelly Services;4204763
468;Western Union;19492
469;Envision Healthcare Holdings;3374096
470;Visteon;3443527
471;Arthur J. Gallagher;3600839
472;"Host Hotels &amp; Resorts";19481037
473;Ashland;7242420
474;Insight Enterprises;30763673
475;Energy Future Holdings;13220
476;Markel;4874576
477;Essendant;3065800
478;CH2M Hill;3296982
479;"Western &amp; Southern Financial Group";1500711
480;Owens Corning;5663374
481;"S&amp;P Global";4620423
482;Raymond James Financial;13607941
483;NiSource;4677871
484;Airgas;3284202
485;ABM Industries;18118655
486;Citizens Financial Group;7041653
487;Booz Allen Hamilton Holding;269349
488;Simon Property Group;9488475
489;Domtar;2115424
490;Rockwell Collins;12495040
491;Lam Research;11230962
492;Fiserv;3579239
493;Spectra Energy;5776323
494;Navient;2182966
495;Big Lots;8738453
496;"Telephone &amp; Data Systems";3935876
497;First American Financial;3154769
498;NVR;268906
499;Cincinnati Financial;n/a
500;Burlington Stores;3992395
